https://data.world/priyankad0993/top-50-imdb-movies-based-on-ratings,Number,Title,Year,Movie link,Rating,Runtime,Genre,Votes,Metascore,Gross,Plot
0,1.,Avengers: Endgame,2019,https://www.imdb.com/title/tt4154796/,8.6,181 min,"Action, Adventure, Sci-Fi            ","558,276",78        ,$858.37M,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe."
1,2.,Parásitos,2019,https://www.imdb.com/title/tt6751668/,8.5,132 min,"Comedy, Drama, Thriller            ","29,523",92        ,$858.37M,"    All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident."
2,3.,The Shining,1980,https://www.imdb.com/title/tt0081505/,8.4,146 min,"Drama, Horror            ","798,352",66        ,$44.02M,"    A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future."
3,4.,The Dark Knight,2008,https://www.imdb.com/title/tt0468569/,9.0,152 min,"Action, Crime, Drama            ","2,099,976",84        ,$534.86M,"    When the menace known as The Joker emerges from his mysterious past, he wreaks havoc and chaos on the people of Gotham. The Dark Knight must accept one of the greatest psychological and physical tests of his ability to fight injustice."
4,5.,The Shawshank Redemption,1994,https://www.imdb.com/title/tt0111161/,9.3,142 min,Drama            ,"2,135,421",80        ,$28.34M,"    Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
5,6.,Spider-Man: Into the Spider-Verse,2018,https://www.imdb.com/title/tt4633694/,8.4,117 min,"Animation, Action, Adventure            ","258,181",87        ,$190.24M,"    Teen Miles Morales becomes Spider-Man of his reality, crossing his path with five counterparts from other dimensions to stop a threat for all realities."
6,7.,Inglourious Basterds,2009,https://www.imdb.com/title/tt0361748/,8.3,153 min,"Adventure, Drama, War            ","1,148,946",69        ,$120.54M,"    In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same."
7,8.,Pulp Fiction,1994,https://www.imdb.com/title/tt0110912/,8.9,154 min,"Crime, Drama            ","1,675,942",94        ,$107.93M,"    The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
8,9.,Avengers: Infinity War,2018,https://www.imdb.com/title/tt4154756/,8.5,149 min,"Action, Adventure, Sci-Fi            ","707,711",68        ,$678.82M,    The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.
9,10.,Toy Story 4,2019,https://www.imdb.com/title/tt1979376/,8.1,100 min,"Animation, Adventure, Comedy            ","93,227",84        ,$431.96M,"    When a new toy called ""Forky"" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy."
10,11.,Interstellar,2014,https://www.imdb.com/title/tt0816692/,8.6,169 min,"Adventure, Drama, Sci-Fi            ","1,329,313",74        ,$188.02M,    A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
11,12.,The Matrix,1999,https://www.imdb.com/title/tt0133093/,8.7,136 min,"Action, Sci-Fi            ","1,537,873",73        ,$171.48M,    A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.
12,13.,The Godfather,1972,https://www.imdb.com/title/tt0068646/,9.2,175 min,"Crime, Drama            ","1,466,135",100        ,$134.97M,    The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
13,14.,The Wolf of Wall Street,2013,https://www.imdb.com/title/tt0993846/,8.2,180 min,"Biography, Crime, Drama            ","1,057,083",75        ,$116.90M,"    Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government."
14,15.,Green Book,2018,https://www.imdb.com/title/tt6966692/,8.2,130 min,"Biography, Comedy, Drama            ","240,442",69        ,$85.08M,    A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South.
15,16.,The Lord of the Rings: The Fellowship of the Ring,2001,https://www.imdb.com/title/tt0120737/,8.8,178 min,"Adventure, Drama, Fantasy            ","1,534,306",92        ,$315.54M,    A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
16,17.,Inception,2010,https://www.imdb.com/title/tt1375666/,8.8,148 min,"Action, Adventure, Sci-Fi            ","1,872,843",74        ,$292.58M,    A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.
17,18.,Mad Max: Fury Road,2015,https://www.imdb.com/title/tt1392190/,8.1,120 min,"Action, Adventure, Sci-Fi            ","795,431",90        ,$154.06M,"    In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max."
18,19.,Taxi Driver,1974,https://www.imdb.com/title/tt0075314/,8.3,114 min,"Crime, Drama            ","649,667",94        ,$28.26M,"    A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presidential campaign worker and an underage prostitute."
19,20.,Fight Club,1999,https://www.imdb.com/title/tt0137523/,8.8,139 min,Drama            ,"1,707,140",66        ,$37.03M,"    An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more."
20,21.,The Green Mile,1999,https://www.imdb.com/title/tt0120689/,8.6,189 min,"Crime, Drama, Fantasy            ","1,037,261",61        ,$136.80M,"    The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift."
21,22.,Django Unchained,2012,https://www.imdb.com/title/tt1853728/,8.4,165 min,"Drama, Western            ","1,236,038",81        ,$162.81M,"    With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner."
22,23.,Gone Girl,2014,https://www.imdb.com/title/tt2267998/,8.1,149 min,"Drama, Mystery, Thriller            ","776,043",79        ,$167.77M,"    With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent."
23,24.,12 Angry Men,1957,https://www.imdb.com/title/tt0050083/,8.9,96 min,Drama            ,"609,087",96        ,$4.36M,    A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.
24,25.,Gladiator,2000,https://www.imdb.com/title/tt0172495/,8.5,155 min,"Action, Adventure, Drama            ","1,232,713",67        ,$187.71M,    A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
